grade,token_count
1.0,25757
1.0,19162
0.9778812572759022,26455
0.044650040225261464,26843
1.0,30219
0.6456140350877193,19809
1.0,17882
0.031746031746031744,16043
1.0,25636
1.0,22361
0.9863663307646711,30419
0.9634769905040176,18230
0.02390591864276075,29678
1.0,20924
0.03475810239549084,20114
0.043234254832675116,28985
0.076993583868011,20454
0.9884920634920635,17549
1.0,26253
1.0,22266
1.0,26808
0.04361567635903919,26822
0.13807245386192754,29980
0.01596169193934557,29503
0.19705882352941176,23330
0.16012269938650306,16165
0.03704501399956924,18472
0.29218106995884774,31843
0.035593855376545525,29121
1.0,28252
0.20100502512562815,28532
0.9989735167316772,19604
0.08425925925925926,27469
1.0,20301
0.07601935038009675,27937
1.0,20374
1.0,25176
0.03487894952810833,30291
1.0,23547
0.8908519827247743,20024
0.09728944820909971,29296
0.06532663316582915,18598
0.9946236559139785,25454
1.0,25879
0.11930926216640503,30950
0.02201690583841164,29897
0.08955223880597014,21119
0.0566622399291722,22477
0.04532135182652862,25872
0.1713197969543147,17898
0.03502008032128514,23628
1.0,28404
0.9984439834024896,27929
0.9935809261806511,30934
0.03881987577639751,27786
0.9214830970556162,30290
1.0,29191
1.0,24563
0.04025944978751957,16769
0.12973667308927425,25953
0.02216160927378111,23740
1.0,20487
1.0,23387
0.03616636528028933,23076
0.3877182420228778,29255
0.9892203559789421,16866
1.0,30146
0.9989082969432315,18177
0.9996339677891655,29549
0.9990416866315285,21822
0.20268514508445215,20013
0.03237555645487657,15788
1.0,20092
0.9994292237442922,17756
1.0,24189
0.9974226804123711,28236
1.0,28576
0.2170849845882871,24217
0.15328994938539406,19119
1.0,29776
0.10374379792512405,31526
0.9980900409276944,27672
0.9982503578813424,23603
1.0,28525
0.0354251012145749,20450
0.04092409240924092,21891
0.07317729351627657,25118
1.0,29118
0.9674839158407234,24566
0.1681517020790496,18345
1.0,16311
0.06394009216589862,21542
0.9033902625541678,28930
0.8868832731648616,23705
0.057663125948406675,26516
1.0,30805
0.997907949790795,29979
0.696927374301676,28342
1.0,17425
0.9993164730006835,28593
1.0,51735
0.0627027027027027,60245
0.8353957506420733,36352
0.012048192771084338,44802
0.026017160254636035,47402
1.0,37221
0.033534287867370005,47310
0.08941605839416059,53507
0.202991452991453,50214
1.0,55167
0.03958796202787316,38824
0.07743732590529248,59561
0.056405640564056406,52152
0.037226868087402214,44463
0.3689192163768435,57499
0.9988221436984688,32819
0.05665024630541872,47186
0.1721311475409836,39654
0.9905838041431262,35028
0.007269422989550204,40259
1.0,55101
0.015282392026578074,41873
0.05593419506462985,52676
0.9436335055019088,51376
0.9994275901545506,37658
0.9639386741524508,55550
1.0,46496
0.17800632911392406,63271
0.7907425265188043,44288
0.08025042686397268,62530
0.6714285714285714,43969
0.8547641073080481,46105
0.08990825688073395,52261
1.0,59552
0.04866180048661801,39204
1.0,55142
0.12647325475974613,34794
0.9970285714285714,63408
0.04224719101123595,35794
0.11998674179648658,54987
0.23065301326170892,31856
0.9495658599667467,36605
0.9310573417301956,49385
0.20384615384615384,34900
0.06204222317966394,45818
0.2148014440433213,57755
0.019508057675996608,56754
0.9900596421471173,49558
1.0,40417
0.038679245283018866,32396
0.21722846441947566,56296
0.9762734362037498,43216
0.07426856714178545,55254
0.06115107913669065,39556
0.03940886699507389,46082
0.9735449735449735,40398
0.13240790176187933,63180
0.05648441030275644,51100
0.8226077224398433,48140
1.0,57061
1.0,45668
1.0,49281
0.9202020202020202,46598
0.03094606542882405,55389
0.0548052456449403,43123
1.0,42553
0.08134731490308231,61459
0.1649122807017544,47058
0.04752851711026616,47780
0.057178371659415785,34556
0.08537763183310798,57126
0.9988571428571429,35680
0.07076350093109869,53211
0.9635581061692969,37112
0.9497466216216216,33820
0.99836867862969,58677
0.1778975741239892,61465
0.9199655765920827,45990
1.0,51742
0.9909956264471315,55962
1.0,39918
0.10322212717422298,51142
0.02139767812428864,46291
1.0,52803
0.03333333333333333,50368
0.04941932295527551,37785
0.04669084315503173,41585
0.7956989247311828,56979
0.9746161078031965,63085
0.05243036592026215,52854
0.975480059084195,59508
0.08442503639010189,43502
0.04663422546634226,58456
0.9949333833739914,31987
0.0519360786724032,52897
0.9958847736625515,39765
0.09398907103825137,39415
1.0,40275
0.03981042654028436,33781
0.0759297520661157,62244
1.0,6486
0.04850322091701402,5540
0.06518246499885243,3824
0.031836880701126814,5779
0.06755373592630501,6001
1.0,4730
1.0,4246
0.06239286938635585,4330
0.030261348005502064,6892
0.07871631849833485,6898
1.0,5530
0.9382050024521824,4899
0.13608695652173913,5606
0.14187380497131932,7158
0.08208321539767903,3831
0.11875112795524273,7243
0.9990381532542482,4338
0.43059490084985835,6695
0.9989165763813651,4035
0.05860597439544808,7229
1.0,5071
0.11170212765957446,7297
1.0,3701
0.01673321924320213,5018
0.9988839285714286,4096
0.05052372150338879,4913
0.02725598526703499,7073
