grade,token_count
0.04815864022662889,23869
0.03444862403484458,21451
0.1585667215815486,19308
0.11329137356534617,25812
0.9988090512107979,15647
1.0,16913
1.0,24314
0.9950767448595425,28205
0.0981185159134869,17831
1.0,19050
0.043006586594343275,21397
0.02639626589409303,15828
1.0,29881
0.9991725279271825,27347
0.05922551252847381,19251
0.027816411682892908,16871
0.06869772998805257,28546
1.0,18487
0.9991624790619765,26404
1.0,26592
0.11276297335203365,20896
0.455,22740
0.9961581920903955,17106
1.0,17764
0.04065204266452002,31180
0.15967016491754124,17756
0.07280385078219014,25461
0.06453038674033149,21646
0.099925705794948,20081
1.0,16080
0.09506107275624004,19499
0.08329297820823245,24400
0.10240811153358682,22971
1.0,16005
1.0,29889
1.0,24420
0.9993634627625716,18904
0.09475292919001528,22716
0.019026301063234472,27864
0.9747102212855637,19199
0.07548179871520343,18363
0.9920668058455114,28885
0.9261452165783733,19605
0.07693970175059434,23296
0.12210200927357033,22915
0.9959083469721768,28253
0.05810008481764207,19730
0.050724637681159424,25963
0.9765297569153395,16023
0.0626674912389198,25656
0.9979550102249489,20230
0.10903328050713154,29965
1.0,22967
0.0660201417381574,30273
0.999439461883408,15955
0.375,30730
1.0,17817
0.05777547137173499,17710
1.0,23021
0.9957983193277311,26618
0.03555878084179971,23147
1.0,23675
0.053198807612932816,30757
1.0,20218
0.1305732484076433,22258
0.03512960436562074,26246
0.05922551252847381,17287
0.0998439937597504,24787
1.0,17682
0.09440046907065376,27895
0.1469248291571754,23172
0.09218232747644513,17517
0.1461187214611872,31965
0.08350246448245868,31683
0.009482758620689655,19775
0.3247863247863248,29887
1.0,26175
0.9686134286849424,18564
0.10208030962747944,24558
1.0,23707
0.9869916021735551,18889
1.0,21366
0.999437570303712,16477
0.08569242540168324,18079
1.0,28860
0.9966666666666667,22825
0.37,28740
1.0,31350
1.0,31250
0.014165390505359877,23241
0.9937570942111237,23381
0.08814968814968815,17724
0.053316407489685816,27616
0.08337372758119244,30625
0.17628801986343887,16756
0.047322540473225407,27176
0.027505950806664903,31284
1.0,20550
0.09948542024013722,57195
1.0,19147
0.05018120992472819,27102
0.056357388316151204,42650
0.008514664143803218,60293
0.9990494296577946,62392
0.12307692307692308,44696
0.021339220014716703,42630
0.15526802218114602,38331
0.04410517387616624,36249
0.17049666419570053,41693
0.0635465865178188,58722
1.0,61629
0.09070397111913357,43175
0.14736842105263157,50654
0.03356367226061204,54063
0.1256931608133087,56829
0.9976359338061466,39089
0.9994815966822188,49174
0.09276334171556301,50078
0.9958275382475661,52660
0.9994121105232217,44046
0.06379368849677639,62918
1.0,32945
1.0,59157
0.05523809523809524,43822
1.0,63016
0.9754224270353302,52255
1.0,53816
0.04663923182441701,56103
0.038810900082576386,56086
1.0,56751
0.19020300088261252,43219
0.9996415770609319,44067
0.09023354564755838,41157
0.08542549722856212,46163
0.06954545454545455,51187
0.055140519388118106,60851
0.9604288996681134,33516
0.06815365551425032,44493
1.0,58783
0.10545094152626362,36704
0.9830287206266318,40252
0.032112393376818864,59558
0.007793472966390648,34799
0.9971698113207547,62682
0.09791921664626684,32230
0.02944873406356617,63218
0.9992307692307693,54347
0.9942175641488977,52119
0.08520559559135227,42599
0.04921217353766458,44099
1.0,57499
0.19757085020242915,47490
0.07606467774994306,59072
1.0,56699
1.0,32485
0.10309278350515463,34309
0.09344845099035043,35496
0.14517506404782238,53842
1.0,41049
0.9998182809376703,33485
1.0,41240
0.10175879396984924,44244
0.0120415982484948,42195
0.05560619872379216,54386
0.024277456647398842,41690
0.9996489996489997,35933
0.9952737298148877,45534
0.010374212671359764,57629
0.05253623188405797,32410
0.9991011235955056,56104
0.9995289684408856,45687
1.0,41223
0.04669914328909793,34144
0.004152823920265781,50042
0.06075453209211171,35166
0.07342350254698753,60180
0.038272562710111195,53740
0.04594807238394965,56662
1.0,39298
0.996,40478
0.9992,35036
0.0,62524
1.0,45882
0.07132894999003786,59777
0.0677731673582296,53661
0.059559775571860166,42597
0.06572203798613205,48668
1.0,50688
1.0,35115
0.11645870469399881,61378
0.9921212121212121,46286
0.053369363283229186,52391
0.036980556614563474,41505
1.0,32758
0.14880201765447668,35789
1.0,36343
0.12992125984251968,44967
0.10668229777256741,56841
0.10085781128151806,4163
1.0,44705
0.013228459063282088,52454
1.0,6637
0.9988104678826328,5744
0.0558059669456965,6498
1.0,4975
0.09810791871058164,6308
0.9731543624161074,6582
1.0,7663
1.0,4873
0.9997209042701647,5652
1.0,6151
1.0,4089
0.03012987012987013,7376
1.0,6230
1.0,5373
0.02606741573033708,3980
0.97252208047105,5016
0.6567489114658926,6332
0.9720475192173306,4335
0.9937357630979499,5215
1.0,6579
0.7428571428571429,4758
0.9734717416378316,5396
0.9994952044422009,6197
1.0,5718
0.9995517705064993,4429
1.0,4744
0.08376963350785341,6902
0.1049671977507029,7343
0.06607369758576874,5614
0.0364963503649635,6135
0.9777777777777777,4644
1.0,5678
1.0,4382
0.999348109517601,5830
0.05731523378582202,7039
0.9993472584856397,5202
1.0,4600
0.08478802992518704,6580
0.9885433715220949,5110
1.0,6991
0.07128263337116912,7397
0.9775280898876404,7690
0.9978552278820375,5420
1.0,6323
0.11875112795524273,7090
0.9991489361702127,7007
1.0,5829
0.05610972568578554,7822
0.018537590113285273,4156
1.0,7053
0.051270718232044196,5684
1.0,5103
0.046875,5528
1.0,5930
0.08740254411161263,7134
1.0,7233
1.0,5203
0.05287437899219304,4826
0.9998086124401914,5199
0.9933774834437086,6512
0.13633520950594122,4076
1.0,5397
0.08256880733944955,7376
0.9793735676088617,7470
1.0,6010
0.9964192708333334,5098
1.0,4825
0.9804772234273319,5182
0.975,6428
0.048592364057076745,5743
0.07381855812349086,6723
1.0,4189
0.9791666666666666,5989
0.06518332811031025,7010
0.04958324428296645,7264
0.03126646759177938,4728
0.9886547811993517,6709
1.0,4351
1.0,7519
0.9994783515910276,4513
1.0,6155
0.9799247176913425,5021
0.9993585631815266,4502
0.05694760820045558,5737
0.19873817034700317,7341
0.054273237679351216,6833
1.0,5123
1.0,6050
0.0275190516511431,5144
0.9767441860465116,3891
1.0,6744
0.9945736434108527,6469
1.0,7554
0.9523809523809523,5551
0.9781376518218623,7536
0.045032018178062384,7301
0.9948032665181886,6854
0.999403222597971,5192
0.013952561291608531,5186
0.004207573632538569,82921
0.05286343612334802,73339
0.01964839710444674,74512
0.9644729178800233,108460
0.13179571663920922,101542
0.02880658436213992,102527
0.17008928571428572,75070
0.015078821110349555,96842
0.034167175106772425,93297
1.0,113127
0.10848941863293603,68817
0.04282868525896414,98974
1.0,89919
0.9731248902160547,90689
0.025210084033613446,68642
0.049572039942938656,90446
1.0,73759
0.2346698113207547,112175
1.0,76436
0.04906860517946388,69037
0.05761676123963335,92231
0.9990662931839402,81692
1.0,78778
0.25691699604743085,99864
0.12133891213389121,74473
1.0,79456
0.9995555555555555,107584
0.129304286718201,111428
0.315955766192733,89050
0.17176557316623664,113872
0.04501607717041801,78482
1.0,110877
0.11208406304728546,82632
0.036151603498542274,97500
0.09240710823909531,70209
0.08606465997770346,94162
1.0,73481
0.0657357679914071,106836
0.05359831376091539,66261
0.04945786570287236,92387
0.05321064212842568,76756
0.0592147607809483,73453
0.04742268041237113,114307
0.012424932698281217,86811
0.15847665847665848,69166
0.0510677808727948,82885
0.14257425742574256,78053
0.033442088091353996,69189
1.0,75833
0.999168744804655,69792
0.2955665024630542,92722
0.18609967992684043,96215
0.1293288384921851,68702
0.12289657780298734,99554
0.04572396274343776,71886
0.036559784237338924,81805
1.0,95377
1.0,93979
1.0,94803
0.06484393902734091,75402
0.06687062937062938,71352
1.0,93132
0.06510730648661683,97781
1.0,67027
0.18057000208029955,99474
0.9943181818181818,78221
0.04592737978410206,79223
0.11690647482014388,100455
0.030333670374115267,99332
0.055248618784530384,110673
0.06041335453100159,97902
0.9990485252140818,86456
1.0,66498
0.05749128919860627,65959
0.9909126827340972,73224
0.12580128205128205,79459
1.0,9215
1.0,88819
0.05758220186487813,8011
0.42042042042042044,91673
1.0,98472
1.0,12287
0.9996,13351
0.9539748953974896,11258
1.0,10855
1.0,13721
0.9990900818926297,11202
0.9969879518072289,13444
0.03896103896103896,13449
0.9557964970809008,13402
0.9813829787234043,7826
0.03876803790652595,15568
0.10943257184966838,14377
0.9945494186046512,7679
0.9770554493307839,12745
0.9775596072931276,11733
0.0611947547353084,8530
0.9994262765347103,11864
1.0,13448
0.178743961352657,9922
0.9787816563997263,9790
0.04435292254078885,12742
0.1380578305198061,15042
0.9992205767731879,10639
1.0,15535
0.9747557003257329,13494
0.019823788546255508,9373
0.9769167353668591,12833
1.0,12607
0.9899851632047477,14173
0.09794050343249427,10753
1.0,12619
0.04876915931258709,12433
1.0,14889
0.08106721395587481,12136
0.09665427509293681,9629
0.029902642559109873,10745
0.027842227378190254,10408
1.0,13963
0.03850050658561297,12474
0.08100445524503848,7623
1.0,15429
0.024971623155505107,8148
0.009720534629404616,13520
0.027620841180163214,10677
0.999587118084228,15157
0.09526123936816525,8123
0.9516908212560387,7463
0.9503500954805856,15018
0.06553338260655334,12592
0.9919120025881591,8410
0.15598885793871867,11654
0.045284431137724554,13257
0.03477878054149241,9935
0.9990375360923965,15372
0.055422328803623765,11331
0.8952860741273839,10384
1.0,11603
1.0,8962
1.0,10832
0.06182987848463188,12731
0.9963636363636363,12054
0.9875518672199171,10068
1.0,9136
0.0688279301745636,14353
1.0,11011
0.9921803127874885,13460
0.12790941497169217,14164
0.007659574468085106,13307
0.20364870598218074,12013
0.9848661233993015,9088
0.05221588415971917,8874
0.9995258416311048,11080
0.9779058597502401,8969
1.0,9986
1.0,8993
0.9993265993265993,7345
1.0,13122
0.9722222222222222,8927
0.9788172992056487,14183
0.01730103806228374,12543
0.07751027598355843,15199
0.03912923670432626,12736
0.1055543732709087,9771
0.03511891531451434,10649
0.3698630136986301,11235
0.09246805648957633,10169
0.060943451508936416,14103
0.9973607038123167,14211
1.0,10880
0.0446927374301676,12962
1.0,9004
1.0,14829
0.033773087071240104,9949
1.0,10007
0.02481829462861195,10500
1.0,9716
0.9785202863961814,14420
1.0,11968
