grade,token_count
1.0,25757
1.0,19162
1.0,26455
1.0,19809
1.0,26843
1.0,30219
1.0,17882
1.0,25636
1.0,16043
1.0,22361
1.0,29678
1.0,30419
1.0,20114
1.0,28985
1.0,20454
0.9992721979621543,18230
1.0,20924
1.0,17549
1.0,26253
1.0,26808
1.0,22266
1.0,29980
1.0,29503
1.0,23330
1.0,26822
1.0,18472
1.0,16165
0.9974683544303797,31843
1.0,29121
1.0,28252
1.0,28532
1.0,19604
1.0,27469
1.0,20301
1.0,27937
1.0,25176
1.0,30291
0.059211699661137866,23547
1.0,20374
1.0,29296
1.0,20024
1.0,18598
1.0,29897
1.0,25454
1.0,25879
1.0,30950
1.0,21119
1.0,25872
1.0,28404
0.9735599622285175,22477
1.0,23628
0.9993416721527321,17898
1.0,27929
1.0,30934
1.0,30290
1.0,27786
1.0,24563
1.0,29191
0.15010570824524314,25953
1.0,16769
0.9992862241256245,29255
1.0,20487
1.0,23387
1.0,23740
1.0,16866
1.0,23076
1.0,29549
0.9806094182825484,30146
0.9989082969432315,18177
1.0,21822
1.0,15788
0.9996167113836719,20013
1.0,28576
0.9994292237442922,17756
1.0,20092
1.0,24189
0.9763157894736842,28236
1.0,29776
1.0,24217
1.0,31526
1.0,27672
1.0,19119
1.0,23603
1.0,28525
1.0,21891
1.0,25118
0.9994001199760048,20450
1.0,29118
1.0,24566
1.0,21542
0.9790286975717439,23705
1.0,18345
1.0,26516
1.0,16311
1.0,30805
0.9033902625541678,28930
1.0,28342
1.0,17425
1.0,51735
1.0,29979
1.0,28593
0.9994728518713759,60245
1.0,36352
1.0,44802
1.0,47402
1.0,37221
1.0,55167
1.0,47310
0.9307624890446976,53507
1.0,50214
0.04146249528835281,38824
1.0,57499
0.999418942475305,59561
1.0,32819
0.9994179278230501,52152
1.0,47186
0.15023923444976076,44463
1.0,35028
1.0,40259
1.0,41873
1.0,52676
1.0,55101
1.0,37658
0.9504707327056897,39654
1.0,55550
1.0,51376
1.0,46496
1.0,63271
1.0,44288
1.0,43969
1.0,59552
1.0,52261
0.8480444539431502,46105
1.0,62530
1.0,39204
1.0,55142
1.0,63408
1.0,34794
1.0,45818
1.0,35794
0.9994786235662148,54987
1.0,34900
1.0,31856
1.0,36605
1.0,57755
1.0,49385
1.0,40417
1.0,56754
1.0,49558
0.9780018331805683,32396
1.0,56296
0.9996966939642099,46082
0.9934354485776805,39556
1.0,55254
1.0,43216
1.0,40398
1.0,63180
1.0,48140
1.0,51100
0.9990766389658357,55389
1.0,49281
1.0,57061
1.0,45668
1.0,46598
1.0,61459
1.0,42553
1.0,47058
1.0,43123
0.9994040524433849,47780
1.0,57126
1.0,35680
1.0,34556
1.0,53211
1.0,58677
1.0,33820
1.0,37112
1.0,61465
1.0,51142
1.0,51742
1.0,39918
1.0,55962
1.0,50368
1.0,45990
1.0,46291
1.0,37785
1.0,52803
1.0,41585
0.9994107248084856,59508
1.0,63085
0.03461753210496929,56979
1.0,58456
1.0,43502
1.0,52897
1.0,31987
0.9958847736625515,39765
1.0,52854
1.0,40275
0.9995296331138288,39415
1.0,5540
1.0,62244
1.0,5779
1.0,6486
1.0,33781
1.0,3824
1.0,4246
1.0,6001
1.0,4330
1.0,4730
1.0,6898
1.0,6892
1.0,7158
1.0,5530
1.0,7243
1.0,5606
1.0,3831
1.0,4338
1.0,4899
1.0,6695
1.0,4035
1.0,7229
1.0,5071
1.0,3701
1.0,7297
1.0,4913
1.0,4096
1.0,6381
1.0,6359
1.0,5018
1.0,7073
1.0,3806
1.0,6205
1.0,5716
0.9975,5289
1.0,5591
1.0,6313
1.0,5475
1.0,5470
1.0,4575
1.0,3782
1.0,5328
1.0,7117
1.0,6147
1.0,7606
1.0,6139
1.0,4912
1.0,3869
1.0,5341
1.0,4051
1.0,3439
1.0,6171
1.0,3402
0.9820493642483171,6979
0.9996,7243
1.0,3843
0.9993935718617344,6974
1.0,3895
1.0,6874
1.0,3219
1.0,6385
1.0,3718
1.0,5343
1.0,4412
1.0,4430
0.9996976111279104,6736
1.0,4967
1.0,4886
1.0,4131
1.0,4622
1.0,5019
1.0,5090
1.0,4680
1.0,6060
1.0,7088
1.0,5544
1.0,7413
0.9990958408679927,6547
1.0,5818
1.0,6154
1.0,6240
1.0,5068
0.9997474109623642,7097
1.0,4318
1.0,7273
1.0,6991
1.0,4370
1.0,5349
1.0,3930
1.0,4851
1.0,3729
1.0,3640
1.0,5238
1.0,5209
1.0,4483
0.9530083443126921,4094
1.0,5158
1.0,4776
1.0,5257
1.0,6496
1.0,6270
1.0,6119
0.979381443298969,115011
0.995729537366548,97814
1.0,74711
0.976491862567812,95006
1.0,83473
0.9994490358126722,113550
1.0,100219
1.0,96092
1.0,109177
1.0,73758
0.996130458817026,109839
1.0,80567
0.9993390614672836,82557
1.0,84614
0.9779005524861878,97789
1.0,72866
1.0,83868
0.9990509332489719,83789
